rank_2020,company,usa_primary,usa_uei,usa_link,alt_names_and_children
1,Lockheed Martin Corp.,T,ZFN2JJXBLZT3,https://www.usaspending.gov/recipient/b97d19b0-833c-8d8f-3a2c-157d04ea55ef-P/latest,"COMPOSITE TECHNOLOGY INC.|DERCO AEROSPACE INC.|LOCKHEED MARTIN CANADA INC|LOCKHEED MARTIN CORPORAT|LOCKHEED MARTIN CORPORATION (3632)|LOCKHEED MARTIN GLOBAL INC.|LOCKHEED MARTIN INTEGRATED SYSTEMS LLC|LOCKHEED MARTIN SERVICES INC.|LOCKHEED MARTIN SERVICES LLC|LOCKHEED MARTIN SIPPICAN INC.|POLSKIE ZAKLADY LOTNICZE SP Z O O|SIKORSKY AIRCRAFT CORPORATION|SIKORSKY SUPPORT SERVICES INC.|LOCKHEED MARTIN CORPORATION|LOCKHEED MARTIN CORP|SIKORSKY AIRCRAFT CORP|LOCKHEED MARTIN SIPPICAN, INC.|LOCKHEED MARTIN SERVICES, LLC|LOCKHEED MARTIN GLOBAL, INC.|LOCKHEED MARTIN ACULIGHT CORPORATION|DERCO AEROSPACE, INC.|LOCKHEED MARTIN SIPPICAN INC|ASTROTECH SPACE OPERATIONS LLC|LOCKHEED MARTIN LOGISTIC SERVICES INC|ZETA ASSOCIATES, INC.|LOCKHEED MARTIN PROCERUS TECHNOLOGIES, L.C.|SIKORSKY SUPPORT SERVICES, INC.|LOCKHEED MARTIN COHERENT TECHNOLOGIES, INC.|POLSKIE ZAKLADY LOTNICZE SP Z O O|LOCKHEED MISSILES & SPACE COMP|KEYSTONE HELICOPTER CORP|PAE KOREA LIMITED|LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC|SYTEX, INC.|LOCKHEED MARTIN INTEGRATED TECHNOLOGY LIMITED LIABILITY COMPANY|LOCKHEED MARTIN AUSTRALIA PTY LIMITED|LEIDOS MANAGEMENT SYSTEMS DESIGNERS, INC.|HELICOPTER SUPPORT, INC.|LEIDOS GOVERNMENT SERVICES, INC.|EAGLE GROUP INTERNATIONAL, LLC|LOCKHEED MARTIN MILLIMETER TECHNOLOGIES, INC.|LEIDOS INTEGRATED TECHNOLOGY, LLC|LOCKHEED MARTIN SPACE OPERATIONS COMPANY|DEFENSE LOGISTICS SERVICES LLC|COMPOSITE TECHNOLOGY, INC.|LOCKHEED MARTIN AIRCRAFT CENTER|LOCKHEED MARTIN INTERNATIONAL SERVICE CORPORATION|LEIDOS DIGITAL SOLUTIONS INC|PACIFIC OPERATIONS MAINTENANCE CO.|QTC MANAGEMENT, INC.|PAE JUSTICE SUPPORT|LEIDOS FEDERAL HEALTHCARE, INC.|LEIDOS INFORMATION TECHNOLOGY COMMERCIAL CORPORATION|LOCKHEED MARTIN SERVICES, INC.|SANDIA RESEARCH CORPORATION|LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC|LOCKHEED MARTIN COMMERCIAL LAUNCH SERVICES, INC.|LOCKHEED MARTIN MISSION SYSTEMS CORPORATION|LEIDOS INC|LEIDOS SMS, INC.|LEIDOS ASPENMED SERVICES, LLC|LOCKHEED MARTIN OVERSEAS, LLC|SAVI TECHNOLOGY INCORPORATED|LOCKHEED MARTIN AUSTRALIA ELECTRONIC SYSTEMS PTY LTD|LEIDOS ENGINEERING & SCIENCES, LLC|LOCKHEED MARTIN LOGISTICS MANAGEMENT INC|LOCKHEED MARTIN AEROPARTS, INC.|NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC|LOCKHEED MARTIN CANADA INC|PERCEPTEK, INC.|LOCKHEED MARTIN UNMANNED INTEGRATED SYSTEMS, INC.|DERCO REPAIR SERVICES,INC.|TEAM INNOVATION IN INTEGRATION (T13), LLC|PAE TECHNICAL SERVICES GMBH|SIKORSKY SUPPORT SERVICES, INC.|INFORMATION NETWORK SYSTEMS, LLC|OAO CORPORATION|LEIDOS ENGINEERING & SCIENCES, LLC|LEIDOS TECHNICAL SERVICES, INC.|PAE GOVERNMENT SERVICES, INC.|LEIDOS ASPEN SYSTEMS CORPORATION|LOCKHEED MARTIN SPACE OPERATIONS COMPANY|ENFLITE, LLC|INFORMATION NETWORK SYSTEMS INCORPORATED|QTC MEDICAL SERVICES, INC.|LOCKHEED MARTIN AERONAUTICS SERVICE-INTERNATIONAL|LOCKHEED MARTIN CDL SYSTEMS USA, INC.|PAE SINGAPORE PTE. LTD.|LEIDOS GOVERNMENT SERVICES, INC.|LOCKHEED MARTIN UK INTEGRATED SYSTEMS & SOLUTIONS LTD|LIFEPORT, LLC|ORINCON INFORMATION ASSURANCE|AEROMECH ENGINEERING, INC.|LOCKHEED MARTIN AERONAUTICS COMPANY|SYNETICS INCORPORATED|LOCKHEED MARTIN GYROCAM SYSTEMS LLC|LOCKHEED MARTIN CANADA INC|LONGBOW LLC|LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY"
1,Lockheed Martin Corp.,F,MKGBNMGL19Y6,https://www.usaspending.gov/recipient/ebaaae81-1c39-a78f-5f6e-609314194ed1-P/latest,
1,Lockheed Martin Corp.,F,U88ZQA9N5KL6,https://www.usaspending.gov/recipient/03d60acd-20af-4eb0-ec18-27aab5e29064-P/latest,
1,Lockheed Martin Corp.,F,F92XQFEXBTY5,https://www.usaspending.gov/recipient/5ec8b068-a332-c54a-33cc-e66ed69feaf6-P/latest,
1,Lockheed Martin Corp.,F,MGJZVTTC2F21,https://www.usaspending.gov/recipient/5975b9b2-7241-4c5e-80fc-9b206f2971a0-P/latest,
1,Lockheed Martin Corp.,F,U19MJBQXBQM5,https://www.usaspending.gov/recipient/15b86902-7929-9101-47c2-10b8c55d15ab-P/latest,
1,Lockheed Martin Corp.,F,C9KYVLRYE998,https://www.usaspending.gov/recipient/4e79f623-c6e3-c881-a96b-ede108e1a479-P/latest,
1,Lockheed Martin Corp.,F,T96MGA5KTWT3,https://www.usaspending.gov/recipient/34b311fd-7e8e-52eb-7610-2678a5b441f4-P/latest,
1,Lockheed Martin Corp.,F,LHKDVHKNCES3,https://www.usaspending.gov/recipient/0d5e3d40-f011-f507-c0ac-94bfc8c41a3e-P/latest,
1,Lockheed Martin Corp.,F,LBUBB3EAG447,https://www.usaspending.gov/recipient/43675c11-3040-4cc5-366c-21df1a3e4f3d-P/latest,
