"TIV of arms exports from France, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7,7,,,,,,,,29
Algeria,,,,,,,,,,,,,16,,1,19,,,,,14,14,,,,,,,,,,,,4,5,,,,,,,,,,,3,,,,,,,,,,12,7,,7,52,52,26,,,,,26,,,52,39,39,387
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,23,5,10,10,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,15,,,68
Argentina,,,,,,,1,,4,14,14,14,16,14,14,,32,14,,61,42,17,73,107,5,9,15,19,189,99,105,200,140,99,40,4,25,,,,,,,,,3,18,,,60,,,,,,,,,,,,,,,,4,8,,,35,,31,1544
Australia,,,,,,,,,,,,,,27,307,302,302,264,158,,,,,48,24,,,,,,,2,25,25,16,1,150,,,,,,,,,,20,,20,15,,35,5,20,28,51,40,42,68,77,42,454,158,64,78,98,84,51,17,10,,,3126
Austria,,,,,,,32,32,5,6,6,8,,2,,3,,36,,,,,,6,6,,,,,,,,,,,,,,,,,,,7,18,15,10,33,38,33,,,,,,,,,,,,,,,,,,,,,,,298
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,2,,,20,,7,8,8,7,,,,,,18,,,,,,,,,,,,,,,17,1,1,1,1,,,,,,,,114
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,2,3,,,,,,,,,,,5,,,,10,,,,,,,,,,,7,15,,10,,10,,10,,,79
Belgium,,,,,,,,5,12,7,28,25,18,22,26,28,43,35,19,18,297,306,313,311,,,,,138,135,135,17,17,,,8,8,15,15,15,8,18,10,35,35,11,,8,,,5,4,,,,,15,8,15,8,,,7,18,47,22,,,,,,,2282
Benin,,,,,,,,,,,,2,1,,2,,1,,,,,1,,,,,,,,,,,3,1,1,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,20,0,,,,,,,,,33
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2
Biafra,,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,11,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,15,,22,7,,26,26,,136
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,12,,1,5,,,,,,,,,,,,,2,,4,5,45,,78
Brazil,,,,,,,,,,,45,9,,8,,,,,3,4,,,98,99,2,35,24,,23,10,20,36,27,27,48,41,63,104,60,169,52,79,18,5,16,6,7,20,48,81,58,467,15,22,22,1,58,58,58,19,44,8,8,38,38,78,38,30,35,27,30,33,2466
