"TIV of arms exports from Germany, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,,,,,11
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,,,,,,,3,,,,,,,,,,,9,13,10,555,33,48,48,48,48,822
Argentina,,,,,,,,,,,,,,,,,,,,,3,3,,2,358,,5,,,9,25,89,106,813,571,453,165,133,3,,130,,,,161,7,,18,25,,130,,,,130,,,,,,,,,2,2,,,,,,,,3340
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,53,66,125,,,,,,,,,,,,,,,,,,251,,251,,,251,251,251,251,251,251,1,32,13,35,29,14,,7,9,20,11,27,27,27,35,2541
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,65,30,,,0,5,6,5,8,4,244,190,285,,,,,2,,,5,4,6,,,858
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,29,,,88,,44,76,76,44,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,363
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,9,,,,,,,,8,24
Belgium,,,,,,,,,,,0,1,0,,,6,,,198,205,207,181,,,,44,44,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,10,10,10,6,,11,22,11,,,,,12,36,1528
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,,,,,,13
Brazil,,,,,,,,,,,,,,,,,,,,3,,30,30,1,0,0,48,18,57,41,18,2,,,,1,1,1,1,176,1,5,5,,175,32,181,,,191,,,,,,170,,,4,65,137,172,37,43,47,40,,,,,,,1732
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,193,,,63,,,,,,,,335
Burundi,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,10
Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,143,,,,,,,,,,,18,,,,,,,,,23,38,31,,,,,2,42,0,,,0,,,,,18,74,11,,,,560
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,7,33,42,71,4,,,,250,,1,,,7,17,2,,,,,,44,44,,5,,,,,1,1,86,156,172,162,10,8,,36,,,40,,15,15,15,1244
