"TIV of arms exports from Italy, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,59,50,30,,,,,,,,,,158
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,,0,,0,,,,,10
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28,,48,190,30,39,48,,,48,,481
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,,,,30
Argentina,5,,,,,,,,,,,,,,,,,,,14,5,19,19,,5,,6,47,13,23,64,13,13,87,68,18,16,37,31,3,10,,,,,2,2,,6,6,9,,,,8,,,,,,,,,,,,2,1,4,,,,551
Australia,,,,,,,,,,,9,,,,,,,,42,38,42,46,36,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,115,58,58,115,,,,,6,,,,,,,,32,32,80,16,,,12,747
Austria,,,,,,,,2,0,,,,,11,11,13,11,11,,6,3,,,,,,,,,15,74,,24,37,,,,,,,,,,,,,,,,,,,13,,,,,25,,1,5,6,6,5,,,13,3,,,13,25,328
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,59
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,14,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,16,,,,,6,4,12,,12,,5,25,,,,138
Belgium,,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,24,30,4,,,,,,,,,,,,,29,38,,,,,,,,,,,,,,132
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,16,32
Brazil,,,,,,,,,,,,,,,,,,,,,,12,49,52,52,52,35,44,51,33,7,,24,47,56,,12,,5,7,5,2,2,,2,8,,5,,,,24,29,15,38,28,6,6,17,7,9,8,5,6,38,22,20,23,23,34,28,31,975
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,16,16,,,16,,,,,,,,,,,51
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,7
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Canada,,,,,,,,,,,,,,,,,,,,20,,,22,7,,,,,,,,,,,,,,,,,,3,3,,5,,,,,,,25,100,63,,,,,,,,,,,,,,,,,,,246
Central African Republic,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,32
Chile,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,16,14,40,40,43,10,,,,,,1,1,,,,,193
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,4,,,3,,,,,50
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,,,,,,,,6
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,16,,,,,,,18,,,,,,,,,,,58
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,19,19,4,13,13,,3,,2,3,5,5,,,,,,,,2,113
Denmark,,,,,,90,45,45,1,,,,,,,,,,,,,,,,,,5,13,8,,7,7,7,,,,,,,,,5,5,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,249
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5
DR Congo,,,,,,,,,,,,,,,1,3,,,,24,16,3,,,,,,,,13,8,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,84,235,159,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,497
Egypt,29,6,,,,38,,,,,,,,,,,,,,,,,,,,11,12,,,,,33,268,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,,8,,3,,,526,630,1628
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,20,,,,,,,,,,,,,,,,,,,,,,54
Ethiopia,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Finland,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,5,,,,,,,,,,,,,7,7,14,62,62,7,7,48,,,,,,233
France,,,,,7,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,38,,,,,,,,,,,,,,,,60,16,,3,,,3,3,3,3,3,,3,257
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Germany,,,,,,,,23,36,,73,226,226,174,335,184,82,22,20,,,46,10,23,33,35,5,,,,,,8,18,15,,,,,3,3,,,5,3,3,5,,,,,,,,6,3,,25,6,,,,7,8,,,,,,7,7,7,1688
